losses,reg,cls
2.4376,1.2679,1.1697
1.5774,0.8032,0.7742
1.2257,0.6923,0.5335
0.9601,0.6793,0.2808
0.7408,0.5103,0.2305
0.7093,0.4937,0.2156
0.6132,0.4473,0.1659
0.5483,0.4096,0.1387
0.5180,0.3941,0.1239
0.4903,0.3785,0.1118
0.4720,0.3674,0.1047
0.4582,0.3587,0.0995
0.4422,0.3492,0.0930
0.4302,0.3410,0.0892
0.4250,0.3370,0.0880
0.4157,0.3327,0.0830
0.4095,0.3273,0.0822
0.4036,0.3256,0.0780
0.3958,0.3184,0.0773
0.3925,0.3174,0.0751
0.3873,0.3133,0.0740
0.3838,0.3101,0.0737
0.3770,0.3072,0.0699
0.3717,0.3024,0.0693
0.3689,0.3015,0.0675
0.3646,0.2976,0.0669
0.3581,0.2932,0.0649
0.3567,0.2920,0.0647
0.3510,0.2883,0.0627
0.3514,0.2883,0.0630
0.3495,0.2879,0.0616
0.3497,0.2879,0.0617
0.3444,0.2839,0.0605
0.3426,0.2825,0.0601
0.3414,0.2826,0.0588
0.3323,0.2755,0.0569
0.3396,0.2810,0.0587
0.3352,0.2784,0.0568
0.3262,0.2713,0.0549
0.3263,0.2709,0.0554
0.3263,0.2721,0.0542
0.3265,0.2710,0.0555
0.3248,0.2699,0.0549
0.3244,0.2697,0.0547
0.3227,0.2681,0.0547
0.3260,0.2701,0.0560
0.3245,0.2698,0.0547
0.3281,0.2732,0.0549
0.3190,0.2642,0.0548
0.3248,0.2707,0.0542
0.3266,0.2710,0.0556
0.3251,0.2698,0.0552
0.3240,0.2696,0.0544
0.3284,0.2727,0.0558
0.3179,0.2637,0.0541
0.3231,0.2700,0.0530
0.3244,0.2695,0.0549
0.3254,0.2705,0.0549
0.3274,0.2723,0.0551
0.3245,0.2702,0.0542
0.3264,0.2710,0.0554
0.3242,0.2695,0.0548
0.3234,0.2697,0.0537
0.3230,0.2686,0.0544
0.3244,0.2700,0.0544
0.3210,0.2665,0.0545
0.3225,0.2678,0.0547
0.3224,0.2669,0.0555
0.3269,0.2719,0.0550
0.3231,0.2684,0.0547
0.3238,0.2698,0.0540
0.3251,0.2705,0.0546
0.3261,0.2707,0.0554
0.3208,0.2680,0.0528
0.3217,0.2666,0.0550
0.3238,0.2691,0.0547
0.3165,0.2637,0.0528
0.3285,0.2721,0.0563
0.3222,0.2684,0.0538
0.3257,0.2699,0.0559
0.3253,0.2712,0.0541
0.3231,0.2690,0.0540
0.3229,0.2675,0.0554
0.3228,0.2674,0.0553
0.3224,0.2677,0.0547
0.3205,0.2668,0.0537
0.3244,0.2698,0.0546
0.3226,0.2678,0.0548
0.3274,0.2733,0.0541
0.3266,0.2704,0.0562
0.3223,0.2686,0.0537
0.3094,0.2545,0.0548
